Year,AgeGrp,Scenario,Indicator,medval,lowval,highval,combined
2015,"[0,99]",Energy Price Shock,TB incidence rate,199.2788155,184.7789827,213.9134745,"199.3 (184.8, 213.9)"
2015,"[0,99]",Export and Energy Shocks,TB incidence rate,199.2788155,184.7789827,213.9134745,"199.3 (184.8, 213.9)"
2015,"[0,99]",Export Restriction Shock,TB incidence rate,199.2788155,184.7789827,213.9134745,"199.3 (184.8, 213.9)"
2015,"[0,99]",No Shocks,TB incidence rate,199.2788155,184.7789827,213.9134745,"199.3 (184.8, 213.9)"
2016,"[0,99]",Energy Price Shock,TB incidence rate,195.5978467,181.113608,210.2041118,"195.6 (181.1, 210.2)"
2016,"[0,99]",Export and Energy Shocks,TB incidence rate,195.5978467,181.113608,210.2041118,"195.6 (181.1, 210.2)"
2016,"[0,99]",Export Restriction Shock,TB incidence rate,195.5978467,181.113608,210.2041118,"195.6 (181.1, 210.2)"
2016,"[0,99]",No Shocks,TB incidence rate,195.5978467,181.113608,210.2041118,"195.6 (181.1, 210.2)"
2017,"[0,99]",Energy Price Shock,TB incidence rate,191.7912894,177.3860591,206.3706935,"191.8 (177.4, 206.4)"
2017,"[0,99]",Export and Energy Shocks,TB incidence rate,191.7912894,177.3860591,206.3706935,"191.8 (177.4, 206.4)"
2017,"[0,99]",Export Restriction Shock,TB incidence rate,191.7912894,177.3860591,206.3706935,"191.8 (177.4, 206.4)"
2017,"[0,99]",No Shocks,TB incidence rate,191.7912894,177.3860591,206.3706935,"191.8 (177.4, 206.4)"
2018,"[0,99]",Energy Price Shock,TB incidence rate,187.5454003,173.3383526,202.1012579,"187.5 (173.3, 202.1)"
2018,"[0,99]",Export and Energy Shocks,TB incidence rate,187.5454003,173.3383526,202.1012579,"187.5 (173.3, 202.1)"
2018,"[0,99]",Export Restriction Shock,TB incidence rate,187.5454003,173.3383526,202.1012579,"187.5 (173.3, 202.1)"
2018,"[0,99]",No Shocks,TB incidence rate,187.5454003,173.3383526,202.1012579,"187.5 (173.3, 202.1)"
2019,"[0,99]",Energy Price Shock,TB incidence rate,183.3737374,169.2412828,198.0430869,"183.4 (169.2, 198)"
2019,"[0,99]",Export and Energy Shocks,TB incidence rate,183.3737374,169.2412828,198.0430869,"183.4 (169.2, 198)"
2019,"[0,99]",Export Restriction Shock,TB incidence rate,183.3737374,169.2412828,198.0430869,"183.4 (169.2, 198)"
2019,"[0,99]",No Shocks,TB incidence rate,183.3737374,169.2412828,198.0430869,"183.4 (169.2, 198)"
2020,"[0,99]",Energy Price Shock,TB incidence rate,179.6583194,165.5595002,194.0314654,"179.7 (165.6, 194)"
2020,"[0,99]",Export and Energy Shocks,TB incidence rate,179.6583194,165.5595002,194.0314654,"179.7 (165.6, 194)"
2020,"[0,99]",Export Restriction Shock,TB incidence rate,179.6583194,165.5595002,194.0314654,"179.7 (165.6, 194)"
2020,"[0,99]",No Shocks,TB incidence rate,179.6583194,165.5595002,194.0314654,"179.7 (165.6, 194)"
2021,"[0,99]",Energy Price Shock,TB incidence rate,175.2630808,161.1341623,189.4465249,"175.3 (161.1, 189.4)"
2021,"[0,99]",Export and Energy Shocks,TB incidence rate,175.2630808,161.1341623,189.4465249,"175.3 (161.1, 189.4)"
2021,"[0,99]",Export Restriction Shock,TB incidence rate,175.2630808,161.1341623,189.4465249,"175.3 (161.1, 189.4)"
2021,"[0,99]",No Shocks,TB incidence rate,175.2630808,161.1341623,189.4465249,"175.3 (161.1, 189.4)"
2022,"[0,99]",Energy Price Shock,TB incidence rate,174.7115726,159.8396636,189.9470217,"174.7 (159.8, 189.9)"
2022,"[0,99]",Export and Energy Shocks,TB incidence rate,174.749485,159.969923,190.1225515,"174.7 (160, 190.1)"
2022,"[0,99]",Export Restriction Shock,TB incidence rate,172.2018006,157.5964211,186.8811835,"172.2 (157.6, 186.9)"
2022,"[0,99]",No Shocks,TB incidence rate,172.0130394,157.5632504,186.7816988,"172 (157.6, 186.8)"
2023,"[0,99]",Energy Price Shock,TB incidence rate,171.5844301,156.3617,187.2208052,"171.6 (156.4, 187.2)"
2023,"[0,99]",Export and Energy Shocks,TB incidence rate,171.8926524,156.5801931,187.6727979,"171.9 (156.6, 187.7)"
2023,"[0,99]",Export Restriction Shock,TB incidence rate,168.4574416,153.7207337,183.4927908,"168.5 (153.7, 183.5)"
2023,"[0,99]",No Shocks,TB incidence rate,168.3620394,153.6876796,183.3757301,"168.4 (153.7, 183.4)"
2024,"[0,99]",Energy Price Shock,TB incidence rate,168.0983806,153.0844502,183.8097346,"168.1 (153.1, 183.8)"
2024,"[0,99]",Export and Energy Shocks,TB incidence rate,168.4824512,153.3850539,184.0401964,"168.5 (153.4, 184)"
2024,"[0,99]",Export Restriction Shock,TB incidence rate,164.5759514,149.7536439,179.6298373,"164.6 (149.8, 179.6)"
2024,"[0,99]",No Shocks,TB incidence rate,164.4868144,149.6807072,179.6090271,"164.5 (149.7, 179.6)"
2025,"[0,99]",Energy Price Shock,TB incidence rate,164.9995184,149.788893,180.9424207,"165 (149.8, 180.9)"
2025,"[0,99]",Export and Energy Shocks,TB incidence rate,165.3005045,150.1211804,181.1753175,"165.3 (150.1, 181.2)"
2025,"[0,99]",Export Restriction Shock,TB incidence rate,160.9527677,146.1174228,176.1860571,"161 (146.1, 176.2)"
2025,"[0,99]",No Shocks,TB incidence rate,160.8372917,145.9626346,176.0769714,"160.8 (146, 176.1)"
2026,"[0,99]",Energy Price Shock,TB incidence rate,161.6326188,146.359083,177.4485888,"161.6 (146.4, 177.4)"
2026,"[0,99]",Export and Energy Shocks,TB incidence rate,161.8892868,146.5713254,177.9221726,"161.9 (146.6, 177.9)"
2026,"[0,99]",Export Restriction Shock,TB incidence rate,157.2742633,142.4112742,172.76667,"157.3 (142.4, 172.8)"
2026,"[0,99]",No Shocks,TB incidence rate,157.0929124,142.1621174,172.4587317,"157.1 (142.2, 172.5)"
2027,"[0,99]",Energy Price Shock,TB incidence rate,158.4797903,143.3413527,174.2676912,"158.5 (143.3, 174.3)"
2027,"[0,99]",Export and Energy Shocks,TB incidence rate,158.7423308,143.5042805,174.6960733,"158.7 (143.5, 174.7)"
2027,"[0,99]",Export Restriction Shock,TB incidence rate,153.9556238,139.1967112,169.4705267,"154 (139.2, 169.5)"
2027,"[0,99]",No Shocks,TB incidence rate,153.6963268,139.1845788,169.3264508,"153.7 (139.2, 169.3)"
2028,"[0,99]",Energy Price Shock,TB incidence rate,155.6853634,140.689557,171.2508671,"155.7 (140.7, 171.3)"
2028,"[0,99]",Export and Energy Shocks,TB incidence rate,155.9567765,140.7091956,171.7204425,"156 (140.7, 171.7)"
2028,"[0,99]",Export Restriction Shock,TB incidence rate,150.9269105,136.2482869,166.3277372,"150.9 (136.2, 166.3)"
2028,"[0,99]",No Shocks,TB incidence rate,150.7395737,136.1657522,166.2777234,"150.7 (136.2, 166.3)"
2029,"[0,99]",Energy Price Shock,TB incidence rate,152.9773354,138.0573741,168.5923721,"153 (138.1, 168.6)"
2029,"[0,99]",Export and Energy Shocks,TB incidence rate,153.3977319,138.2807514,168.9871825,"153.4 (138.3, 169)"
2029,"[0,99]",Export Restriction Shock,TB incidence rate,148.1651511,133.5102628,163.5093443,"148.2 (133.5, 163.5)"
2029,"[0,99]",No Shocks,TB incidence rate,148.0111241,133.3500308,163.4211655,"148 (133.4, 163.4)"
2030,"[0,99]",Energy Price Shock,TB incidence rate,150.4998239,135.4996838,166.1341888,"150.5 (135.5, 166.1)"
2030,"[0,99]",Export and Energy Shocks,TB incidence rate,150.9305396,135.8455918,166.4291383,"150.9 (135.8, 166.4)"
2030,"[0,99]",Export Restriction Shock,TB incidence rate,145.5224069,130.995069,160.7395626,"145.5 (131, 160.7)"
2030,"[0,99]",No Shocks,TB incidence rate,145.4000036,130.8307342,160.7225797,"145.4 (130.8, 160.7)"
2031,"[0,99]",Energy Price Shock,TB incidence rate,148.3251729,133.2212767,163.9745813,"148.3 (133.2, 164)"
2031,"[0,99]",Export and Energy Shocks,TB incidence rate,148.6993418,133.5910128,164.2496489,"148.7 (133.6, 164.2)"
2031,"[0,99]",Export Restriction Shock,TB incidence rate,142.9095354,128.5395202,158.0571617,"142.9 (128.5, 158.1)"
2031,"[0,99]",No Shocks,TB incidence rate,142.7306903,128.3069048,157.9872853,"142.7 (128.3, 158)"
2032,"[0,99]",Energy Price Shock,TB incidence rate,146.1715579,131.1406359,161.7896799,"146.2 (131.1, 161.8)"
2032,"[0,99]",Export and Energy Shocks,TB incidence rate,146.5188465,131.3023372,162.0931977,"146.5 (131.3, 162.1)"
2032,"[0,99]",Export Restriction Shock,TB incidence rate,140.4733324,126.0985013,155.4804882,"140.5 (126.1, 155.5)"
2032,"[0,99]",No Shocks,TB incidence rate,140.2722816,125.8484081,155.242936,"140.3 (125.8, 155.2)"
2033,"[0,99]",Energy Price Shock,TB incidence rate,143.9336329,129.0342894,159.5134515,"143.9 (129, 159.5)"
2033,"[0,99]",Export and Energy Shocks,TB incidence rate,144.262708,129.0549763,159.9108894,"144.3 (129.1, 159.9)"
2033,"[0,99]",Export Restriction Shock,TB incidence rate,138.0690353,123.626384,153.0061882,"138.1 (123.6, 153)"
2033,"[0,99]",No Shocks,TB incidence rate,137.851552,123.3416701,152.5680652,"137.9 (123.3, 152.6)"
2034,"[0,99]",Energy Price Shock,TB incidence rate,141.77464,126.8493439,157.3024177,"141.8 (126.8, 157.3)"
2034,"[0,99]",Export and Energy Shocks,TB incidence rate,142.1825549,126.9778251,157.8502979,"142.2 (127, 157.9)"
2034,"[0,99]",Export Restriction Shock,TB incidence rate,135.8088168,121.29603,150.6913683,"135.8 (121.3, 150.7)"
2034,"[0,99]",No Shocks,TB incidence rate,135.5630462,121.0621868,150.3114461,"135.6 (121.1, 150.3)"
2035,"[0,99]",Energy Price Shock,TB incidence rate,139.8442713,124.8360201,155.2357066,"139.8 (124.8, 155.2)"
2035,"[0,99]",Export and Energy Shocks,TB incidence rate,140.0912111,125.0060637,155.566389,"140.1 (125, 155.6)"
2035,"[0,99]",Export Restriction Shock,TB incidence rate,133.6924846,119.2531999,148.2359097,"133.7 (119.3, 148.2)"
2035,"[0,99]",No Shocks,TB incidence rate,133.3728854,118.9492192,148.1202133,"133.4 (118.9, 148.1)"
2036,"[0,99]",Energy Price Shock,TB incidence rate,137.322518,122.5532577,152.7529271,"137.3 (122.6, 152.8)"
2036,"[0,99]",Export and Energy Shocks,TB incidence rate,137.6725306,122.651368,152.9003267,"137.7 (122.7, 152.9)"
2036,"[0,99]",Export Restriction Shock,TB incidence rate,131.3237542,117.0027085,145.9860611,"131.3 (117, 146)"
2036,"[0,99]",No Shocks,TB incidence rate,131.027707,116.6537836,145.7113515,"131 (116.7, 145.7)"
2037,"[0,99]",Energy Price Shock,TB incidence rate,135.3503121,120.7841469,150.6235871,"135.4 (120.8, 150.6)"
2037,"[0,99]",Export and Energy Shocks,TB incidence rate,135.6739604,120.7515268,151.0409482,"135.7 (120.8, 151)"
2037,"[0,99]",Export Restriction Shock,TB incidence rate,129.202216,115.077873,143.9225887,"129.2 (115.1, 143.9)"
2037,"[0,99]",No Shocks,TB incidence rate,128.9346127,114.819337,143.5161372,"128.9 (114.8, 143.5)"
2038,"[0,99]",Energy Price Shock,TB incidence rate,133.4823721,118.6783741,148.8262245,"133.5 (118.7, 148.8)"
2038,"[0,99]",Export and Energy Shocks,TB incidence rate,133.8538608,118.8862522,149.2146057,"133.9 (118.9, 149.2)"
2038,"[0,99]",Export Restriction Shock,TB incidence rate,127.1401337,113.1865597,141.7343237,"127.1 (113.2, 141.7)"
2038,"[0,99]",No Shocks,TB incidence rate,126.9486017,112.7502765,141.3625435,"126.9 (112.8, 141.4)"
2039,"[0,99]",Energy Price Shock,TB incidence rate,131.621846,116.8410472,146.8296961,"131.6 (116.8, 146.8)"
2039,"[0,99]",Export and Energy Shocks,TB incidence rate,132.0210538,117.1166535,147.4138207,"132 (117.1, 147.4)"
2039,"[0,99]",Export Restriction Shock,TB incidence rate,125.2491019,111.3457805,139.777903,"125.2 (111.3, 139.8)"
2039,"[0,99]",No Shocks,TB incidence rate,125.0088805,111.1153791,139.2862641,"125 (111.1, 139.3)"
2040,"[0,99]",Energy Price Shock,TB incidence rate,129.8535066,115.1681753,145.1201492,"129.9 (115.2, 145.1)"
2040,"[0,99]",Export and Energy Shocks,TB incidence rate,130.1877607,115.482921,145.486283,"130.2 (115.5, 145.5)"
2040,"[0,99]",Export Restriction Shock,TB incidence rate,123.4171641,109.6391083,137.8603544,"123.4 (109.6, 137.9)"
2040,"[0,99]",No Shocks,TB incidence rate,123.1314056,109.2635699,137.4456766,"123.1 (109.3, 137.4)"
2015,"[0,99]",Energy Price Shock,TB mortality rate,45.16273758,42.72368337,48.07253655,"45.2 (42.7, 48.1)"
2015,"[0,99]",Export and Energy Shocks,TB mortality rate,45.16273758,42.72368337,48.07253655,"45.2 (42.7, 48.1)"
2015,"[0,99]",Export Restriction Shock,TB mortality rate,45.16273758,42.72368337,48.07253655,"45.2 (42.7, 48.1)"
2015,"[0,99]",No Shocks,TB mortality rate,45.16273758,42.72368337,48.07253655,"45.2 (42.7, 48.1)"
2016,"[0,99]",Energy Price Shock,TB mortality rate,43.35144237,40.99680842,46.22773724,"43.4 (41, 46.2)"
2016,"[0,99]",Export and Energy Shocks,TB mortality rate,43.35144237,40.99680842,46.22773724,"43.4 (41, 46.2)"
2016,"[0,99]",Export Restriction Shock,TB mortality rate,43.35144237,40.99680842,46.22773724,"43.4 (41, 46.2)"
2016,"[0,99]",No Shocks,TB mortality rate,43.35144237,40.99680842,46.22773724,"43.4 (41, 46.2)"
2017,"[0,99]",Energy Price Shock,TB mortality rate,41.4273771,39.10949493,44.25777079,"41.4 (39.1, 44.3)"
2017,"[0,99]",Export and Energy Shocks,TB mortality rate,41.4273771,39.10949493,44.25777079,"41.4 (39.1, 44.3)"
2017,"[0,99]",Export Restriction Shock,TB mortality rate,41.4273771,39.10949493,44.25777079,"41.4 (39.1, 44.3)"
2017,"[0,99]",No Shocks,TB mortality rate,41.4273771,39.10949493,44.25777079,"41.4 (39.1, 44.3)"
2018,"[0,99]",Energy Price Shock,TB mortality rate,39.55675959,37.30266398,42.38224443,"39.6 (37.3, 42.4)"
2018,"[0,99]",Export and Energy Shocks,TB mortality rate,39.55675959,37.30266398,42.38224443,"39.6 (37.3, 42.4)"
2018,"[0,99]",Export Restriction Shock,TB mortality rate,39.55675959,37.30266398,42.38224443,"39.6 (37.3, 42.4)"
2018,"[0,99]",No Shocks,TB mortality rate,39.55675959,37.30266398,42.38224443,"39.6 (37.3, 42.4)"
2019,"[0,99]",Energy Price Shock,TB mortality rate,37.88340553,35.69043585,40.66326385,"37.9 (35.7, 40.7)"
2019,"[0,99]",Export and Energy Shocks,TB mortality rate,37.88340553,35.69043585,40.66326385,"37.9 (35.7, 40.7)"
2019,"[0,99]",Export Restriction Shock,TB mortality rate,37.88340553,35.69043585,40.66326385,"37.9 (35.7, 40.7)"
2019,"[0,99]",No Shocks,TB mortality rate,37.88340553,35.69043585,40.66326385,"37.9 (35.7, 40.7)"
2020,"[0,99]",Energy Price Shock,TB mortality rate,36.3946975,34.25653068,39.1576221,"36.4 (34.3, 39.2)"
2020,"[0,99]",Export and Energy Shocks,TB mortality rate,36.3946975,34.25653068,39.1576221,"36.4 (34.3, 39.2)"
2020,"[0,99]",Export Restriction Shock,TB mortality rate,36.3946975,34.25653068,39.1576221,"36.4 (34.3, 39.2)"
2020,"[0,99]",No Shocks,TB mortality rate,36.3946975,34.25653068,39.1576221,"36.4 (34.3, 39.2)"
2021,"[0,99]",Energy Price Shock,TB mortality rate,35.14739247,33.0527658,37.87514149,"35.1 (33.1, 37.9)"
2021,"[0,99]",Export and Energy Shocks,TB mortality rate,35.14739247,33.0527658,37.87514149,"35.1 (33.1, 37.9)"
2021,"[0,99]",Export Restriction Shock,TB mortality rate,35.14739247,33.0527658,37.87514149,"35.1 (33.1, 37.9)"
2021,"[0,99]",No Shocks,TB mortality rate,35.14739247,33.0527658,37.87514149,"35.1 (33.1, 37.9)"
2022,"[0,99]",Energy Price Shock,TB mortality rate,34.24946561,32.16575444,36.9289466,"34.2 (32.2, 36.9)"
2022,"[0,99]",Export and Energy Shocks,TB mortality rate,34.25101851,32.16942793,36.92951878,"34.3 (32.2, 36.9)"
2022,"[0,99]",Export Restriction Shock,TB mortality rate,34.14747956,32.059725,36.84132785,"34.1 (32.1, 36.8)"
2022,"[0,99]",No Shocks,TB mortality rate,34.14745115,32.06557374,36.83897964,"34.1 (32.1, 36.8)"
2023,"[0,99]",Energy Price Shock,TB mortality rate,33.5310936,31.45781196,36.21351795,"33.5 (31.5, 36.2)"
2023,"[0,99]",Export and Energy Shocks,TB mortality rate,33.55058777,31.48114313,36.22800409,"33.6 (31.5, 36.2)"
2023,"[0,99]",Export Restriction Shock,TB mortality rate,33.29331117,31.20907032,35.94732956,"33.3 (31.2, 35.9)"
2023,"[0,99]",No Shocks,TB mortality rate,33.29152943,31.19962714,35.92448724,"33.3 (31.2, 35.9)"
2024,"[0,99]",Energy Price Shock,TB mortality rate,32.89898428,30.79003337,35.62108304,"32.9 (30.8, 35.6)"
2024,"[0,99]",Export and Energy Shocks,TB mortality rate,32.94368772,30.8202951,35.68347294,"32.9 (30.8, 35.7)"
2024,"[0,99]",Export Restriction Shock,TB mortality rate,32.48077976,30.36622232,35.13706408,"32.5 (30.4, 35.1)"
2024,"[0,99]",No Shocks,TB mortality rate,32.47427273,30.36805228,35.11868855,"32.5 (30.4, 35.1)"
2025,"[0,99]",Energy Price Shock,TB mortality rate,32.275828,30.12354563,34.99624097,"32.3 (30.1, 35)"
2025,"[0,99]",Export and Energy Shocks,TB mortality rate,32.32499912,30.16631084,35.05335315,"32.3 (30.2, 35.1)"
2025,"[0,99]",Export Restriction Shock,TB mortality rate,31.69124637,29.57651533,34.34573439,"31.7 (29.6, 34.3)"
2025,"[0,99]",No Shocks,TB mortality rate,31.67688528,29.57739076,34.33399133,"31.7 (29.6, 34.3)"
2026,"[0,99]",Energy Price Shock,TB mortality rate,31.63909552,29.44840794,34.37275718,"31.6 (29.4, 34.4)"
2026,"[0,99]",Export and Energy Shocks,TB mortality rate,31.68549158,29.47448726,34.46880252,"31.7 (29.5, 34.5)"
2026,"[0,99]",Export Restriction Shock,TB mortality rate,30.94917861,28.79441049,33.61612318,"30.9 (28.8, 33.6)"
2026,"[0,99]",No Shocks,TB mortality rate,30.9128052,28.7856157,33.59883757,"30.9 (28.8, 33.6)"
2027,"[0,99]",Energy Price Shock,TB mortality rate,30.98247766,28.78289486,33.74756771,"31 (28.8, 33.7)"
2027,"[0,99]",Export and Energy Shocks,TB mortality rate,31.02278602,28.80481144,33.82504297,"31 (28.8, 33.8)"
2027,"[0,99]",Export Restriction Shock,TB mortality rate,30.2135875,28.0708096,32.88677041,"30.2 (28.1, 32.9)"
2027,"[0,99]",No Shocks,TB mortality rate,30.17743412,28.04126939,32.8409364,"30.2 (28, 32.8)"
2028,"[0,99]",Energy Price Shock,TB mortality rate,30.3564802,28.163139,33.12044345,"30.4 (28.2, 33.1)"
2028,"[0,99]",Export and Energy Shocks,TB mortality rate,30.40628963,28.17493989,33.20478597,"30.4 (28.2, 33.2)"
2028,"[0,99]",Export Restriction Shock,TB mortality rate,29.51512276,27.35638859,32.1751592,"29.5 (27.4, 32.2)"
2028,"[0,99]",No Shocks,TB mortality rate,29.47790444,27.33917358,32.13876697,"29.5 (27.3, 32.1)"
2029,"[0,99]",Energy Price Shock,TB mortality rate,29.74316593,27.52513511,32.54042677,"29.7 (27.5, 32.5)"
2029,"[0,99]",Export and Energy Shocks,TB mortality rate,29.81044675,27.58838469,32.59536295,"29.8 (27.6, 32.6)"
2029,"[0,99]",Export Restriction Shock,TB mortality rate,28.86816063,26.7302121,31.53682055,"28.9 (26.7, 31.5)"
2029,"[0,99]",No Shocks,TB mortality rate,28.82686257,26.70641479,31.46521214,"28.8 (26.7, 31.5)"
2030,"[0,99]",Energy Price Shock,TB mortality rate,29.17727466,26.95987638,31.9890912,"29.2 (27, 32)"
2030,"[0,99]",Export and Energy Shocks,TB mortality rate,29.2367006,27.03840953,32.01787253,"29.2 (27, 32)"
2030,"[0,99]",Export Restriction Shock,TB mortality rate,28.25460221,26.14512158,30.93842971,"28.3 (26.1, 30.9)"
2030,"[0,99]",No Shocks,TB mortality rate,28.23058156,26.12313861,30.88131796,"28.2 (26.1, 30.9)"
2031,"[0,99]",Energy Price Shock,TB mortality rate,28.65451108,26.42112526,31.43793535,"28.7 (26.4, 31.4)"
2031,"[0,99]",Export and Energy Shocks,TB mortality rate,28.71032855,26.47367508,31.48913562,"28.7 (26.5, 31.5)"
2031,"[0,99]",Export Restriction Shock,TB mortality rate,27.69820372,25.60342776,30.36190683,"27.7 (25.6, 30.4)"
2031,"[0,99]",No Shocks,TB mortality rate,27.66230517,25.57886384,30.31517235,"27.7 (25.6, 30.3)"
2032,"[0,99]",Energy Price Shock,TB mortality rate,28.16832455,25.91924056,30.947119,"28.2 (25.9, 30.9)"
2032,"[0,99]",Export and Energy Shocks,TB mortality rate,28.23392541,25.97887863,30.99672998,"28.2 (26, 31)"
2032,"[0,99]",Export Restriction Shock,TB mortality rate,27.15921194,25.07576133,29.81061691,"27.2 (25.1, 29.8)"
2032,"[0,99]",No Shocks,TB mortality rate,27.12696012,25.02223704,29.76416688,"27.1 (25, 29.8)"
2033,"[0,99]",Energy Price Shock,TB mortality rate,27.70660892,25.47250295,30.483649,"27.7 (25.5, 30.5)"
2033,"[0,99]",Export and Energy Shocks,TB mortality rate,27.76865179,25.51541217,30.52454899,"27.8 (25.5, 30.5)"
2033,"[0,99]",Export Restriction Shock,TB mortality rate,26.64741631,24.54672448,29.28605405,"26.6 (24.5, 29.3)"
2033,"[0,99]",No Shocks,TB mortality rate,26.61117955,24.51087439,29.23457351,"26.6 (24.5, 29.2)"
2034,"[0,99]",Energy Price Shock,TB mortality rate,27.26064226,25.02922754,30.03913062,"27.3 (25, 30)"
2034,"[0,99]",Export and Energy Shocks,TB mortality rate,27.3335432,25.0754666,30.07884848,"27.3 (25.1, 30.1)"
2034,"[0,99]",Export Restriction Shock,TB mortality rate,26.16547632,24.04664776,28.79376883,"26.2 (24, 28.8)"
2034,"[0,99]",No Shocks,TB mortality rate,26.11827654,23.99935823,28.7383071,"26.1 (24, 28.7)"
2035,"[0,99]",Energy Price Shock,TB mortality rate,26.84031988,24.61601763,29.60233551,"26.8 (24.6, 29.6)"
2035,"[0,99]",Export and Energy Shocks,TB mortality rate,26.90005324,24.65157809,29.64334491,"26.9 (24.7, 29.6)"
2035,"[0,99]",Export Restriction Shock,TB mortality rate,25.70298296,23.57070999,28.32361323,"25.7 (23.6, 28.3)"
2035,"[0,99]",No Shocks,TB mortality rate,25.64511899,23.51230989,28.25448544,"25.6 (23.5, 28.3)"
2036,"[0,99]",Energy Price Shock,TB mortality rate,26.41224094,24.20500596,29.16421677,"26.4 (24.2, 29.2)"
2036,"[0,99]",Export and Energy Shocks,TB mortality rate,26.47550304,24.22992994,29.20101643,"26.5 (24.2, 29.2)"
2036,"[0,99]",Export Restriction Shock,TB mortality rate,25.23589782,23.09998884,27.85731207,"25.2 (23.1, 27.9)"
2036,"[0,99]",No Shocks,TB mortality rate,25.18250575,23.04610136,27.78583449,"25.2 (23, 27.8)"
2037,"[0,99]",Energy Price Shock,TB mortality rate,26.0002029,23.80896506,28.71267552,"26 (23.8, 28.7)"
2037,"[0,99]",Export and Energy Shocks,TB mortality rate,26.05442227,23.81203507,28.77092754,"26.1 (23.8, 28.8)"
2037,"[0,99]",Export Restriction Shock,TB mortality rate,24.79531008,22.64750493,27.40372881,"24.8 (22.6, 27.4)"
2037,"[0,99]",No Shocks,TB mortality rate,24.74166568,22.59160283,27.33511152,"24.7 (22.6, 27.3)"
2038,"[0,99]",Energy Price Shock,TB mortality rate,25.60052836,23.38180098,28.28011164,"25.6 (23.4, 28.3)"
2038,"[0,99]",Export and Energy Shocks,TB mortality rate,25.65439392,23.39301797,28.36184254,"25.7 (23.4, 28.4)"
2038,"[0,99]",Export Restriction Shock,TB mortality rate,24.39038782,22.22737754,26.96626993,"24.4 (22.2, 27)"
2038,"[0,99]",No Shocks,TB mortality rate,24.33712921,22.15994702,26.89374663,"24.3 (22.2, 26.9)"
2039,"[0,99]",Energy Price Shock,TB mortality rate,25.21314239,22.96951602,27.88677352,"25.2 (23, 27.9)"
2039,"[0,99]",Export and Energy Shocks,TB mortality rate,25.27321064,22.99205833,27.96859645,"25.3 (23, 28)"
2039,"[0,99]",Export Restriction Shock,TB mortality rate,23.99222925,21.83434243,26.53643172,"24 (21.8, 26.5)"
2039,"[0,99]",No Shocks,TB mortality rate,23.93895979,21.77539657,26.46190129,"23.9 (21.8, 26.5)"
2040,"[0,99]",Energy Price Shock,TB mortality rate,24.83563931,22.58247777,27.47489205,"24.8 (22.6, 27.5)"
2040,"[0,99]",Export and Energy Shocks,TB mortality rate,24.90785564,22.62122257,27.59696734,"24.9 (22.6, 27.6)"
2040,"[0,99]",Export Restriction Shock,TB mortality rate,23.60898777,21.46166247,26.12833354,"23.6 (21.5, 26.1)"
2040,"[0,99]",No Shocks,TB mortality rate,23.54520648,21.40846566,26.05719022,"23.5 (21.4, 26.1)"