nhits,uid,chi,eta,j1A0,j2A0,j3A0,j4A0,kappa,muDc,muK,multiplier,omegaS0,pBdmild,pBdmoderate,pBdover,pBpmild,pBpmoderate,pBpover,pBtmild,pBtmoderate,pBtover,pR,pT,rho,sageA15,sigma,theta,zeta
15,c9c38bb854facd043ac24dfeacf489fb,0.141783978,0.637947412,0.392907535,0.255389732,0.68593959,0.388626164,0.062769472,0.146267726,0.009593233,0.612946415,0.042059294,0.549045736,2.046674311,0.49668256,1.346398625,1.866177688,0.2581733,1.401081631,2.191274304,1.270324184,0.821182325,0.000563442,0.024051393,0.95624037,0.000274646,0.104131201,0.969231856
15,4840c8952edcbbf273571e4e0ff3d22d,0.162329036,0.689393232,0.330769472,0.294180531,0.707759271,0.342328995,0.065287923,0.149522878,0.010190562,0.676276464,0.037526078,0.762207427,2.183758548,1.077797536,1.343940102,1.874771752,0.25159851,1.264332146,2.297814286,1.651257057,0.826267631,0.000654577,0.021514152,0.878385146,0.00015727,0.101729488,1.006701736
15,741bdeb40e91cb4ad33273d364940fa2,0.148517243,0.574667692,0.471239116,0.162836746,0.607917415,0.397204203,0.080841414,0.153244077,0.007891128,0.616331867,0.042674757,0.426316815,2.260318025,0.827608386,1.338944805,1.85489034,0.25721821,1.418620184,2.255923831,1.244482511,0.831055738,0.000654459,0.016813687,0.779102675,0.000291487,0.100675882,1.166358869
15,6e72eb3c5bf8e707eb446bf3e3aadf34,0.145324057,0.658987892,0.190914866,0.051479682,0.593743527,0.357755737,0.085053316,0.155977656,0.00531265,0.628302072,0.043808229,0.405083845,2.149334294,0.394577369,1.331722013,1.854410903,0.24866771,1.45528947,2.290842962,1.269158947,0.818975046,0.000606945,0.019872621,0.839187895,0.000545361,0.101079662,0.849101384
15,6b8c735aa7a752a446b49e2576d0ed6b,0.161016277,0.712607625,0.42820483,0.110381582,0.804622341,0.296147586,0.070214773,0.159870712,0.008064397,0.673178293,0.039435661,0.9078869,2.222478299,0.926556809,1.334290206,1.876332992,0.266699725,1.433510855,2.130546274,1.260359026,0.814042965,0.000679519,0.017566561,0.847385772,0.000223394,0.10826561,1.167391002
15,8a3152e972e1e3cdddc8edb29168ec56,0.140902883,0.629981805,0.396181947,0.239694527,0.639455671,0.502864516,0.063674188,0.143359888,0.009714518,0.729732318,0.040668345,0.422398355,2.126806798,0.357801494,1.367163321,1.865474401,0.248432022,1.364093067,2.263938384,1.535633651,0.840933766,0.000565925,0.022565653,0.957636969,0.000265118,0.102536608,0.775136452
15,53fd917d07f8a2c802945e58dc9594f6,0.160867136,0.655180808,0.427468643,0.117371702,0.685075764,0.366100278,0.073533449,0.16562495,0.008235212,0.770128013,0.03723473,0.937118919,2.377411142,1.248200024,1.341067853,1.887975705,0.266895411,1.269937547,2.242259372,1.467633731,0.839570877,0.00059068,0.022578129,0.796442775,0.000140289,0.105424687,0.772095128
15,1d1602759dc6f1e7b7e0d981ba053f90,0.144347517,0.636350593,0.368223224,0.110815177,0.594949684,0.390225963,0.069520249,0.158099007,0.007669995,0.809283307,0.040356266,0.578511059,2.532874666,0.471473886,1.355239095,1.869352822,0.258186467,1.358978808,2.132630172,1.176445701,0.836483092,0.000600339,0.019876703,0.978232517,0.000326556,0.10473828,0.753216803
15,02ec95ece56497402f2eb47c5fc276e6,0.143991928,0.634062274,0.41801597,0.216724859,0.593576984,0.406904182,0.070421273,0.157346656,0.007740413,0.670307915,0.041656138,0.417750494,2.394065926,0.578932501,1.352671326,1.860026369,0.24572296,1.424002644,2.279237595,1.439733644,0.833566584,0.000685593,0.015293453,0.846493405,0.000312039,0.099893109,0.969790081
15,cfd2e3ff4d444849b2972710e9c08cb7,0.145757079,0.687188557,0.401144233,0.192506464,0.625096692,0.373687782,0.067072557,0.165376226,0.007608859,0.624709449,0.040869738,0.472392636,2.326797095,0.553218087,1.357441384,1.866928105,0.248000759,1.444124091,2.25437623,1.446453269,0.827510744,0.000641992,0.016766836,0.85648441,0.00030334,0.100172189,0.759182796
15,340ee513d9b76d015dd433da43159962,0.144599849,0.646428886,0.404719013,0.207020754,0.600673549,0.404870289,0.070930167,0.158350622,0.007586338,0.645653064,0.041580385,0.420671502,2.332575839,0.600178186,1.352087059,1.861223034,0.245045164,1.431590024,2.27470819,1.444132242,0.829970949,0.000679698,0.015326123,0.843709056,0.000316259,0.099532673,0.860989048
15,f51cd916e45cb40d3d1ee52b32958646,0.138220106,0.741836266,0.441388482,0.216107303,0.581817075,0.360066889,0.0626692,0.174860148,0.006570267,0.52133227,0.041901214,0.348948242,2.298541739,0.320740904,1.36814509,1.866048283,0.24719239,1.570153644,2.22361399,1.327694568,0.824460746,0.000646247,0.017842338,0.851200184,0.000390422,0.0999663,0.793468512
15,8e115df7721e0f61e6278475b55e36e4,0.138790945,0.672230784,0.42192754,0.209440052,0.56052314,0.413506838,0.065468633,0.165398223,0.007304,0.621842015,0.041587375,0.321150512,2.360992374,0.396667266,1.365326077,1.865286664,0.244662557,1.464102425,2.257995719,1.399536963,0.832783487,0.000625605,0.017584281,0.875221328,0.000352299,0.098500879,0.697352056
15,4e7bd06cdaaf511392782995d84f7a48,0.15964006,0.632059468,0.346833399,0.358248111,0.728213101,0.367556945,0.067239138,0.146616884,0.01062565,0.654332871,0.039290305,0.77733585,2.074724639,1.025237644,1.332275311,1.867491477,0.251724864,1.239636725,2.305878087,1.682432057,0.824202556,0.000648561,0.020694886,0.872910616,0.000160108,0.101797756,1.011242463
15,892e01cbbee4a77ae15b8386e8f9bf0a,0.143278928,0.695913641,0.425727405,0.209812748,0.635597854,0.374707192,0.064712739,0.160609898,0.007342897,0.59756646,0.040897523,0.476568589,2.318461812,0.684408898,1.353540135,1.862881322,0.249698104,1.48405352,2.258256685,1.420131673,0.825896106,0.000671828,0.017723618,0.821943957,0.000314705,0.100649229,1.054614483
15,eafd455f011306898706a74724b33d16,0.141236069,0.631711957,0.504078661,0.089365107,0.618871659,0.302776237,0.081226875,0.147054907,0.007211175,0.391106954,0.045095065,0.495868723,2.288880188,0.724258407,1.330911661,1.861179884,0.270797989,1.661249389,2.176265899,0.785129152,0.818321874,0.000575224,0.017381938,0.797188288,0.000380492,0.107386433,0.804595306
15,ac2225f54db043d4ca9128e8749c1a1c,0.137821468,0.579523249,0.603890599,0.257967727,0.65490502,0.380222034,0.067341036,0.150819349,0.0085465,0.381921417,0.0456834,0.440053091,2.197885532,0.651912174,1.333849306,1.850731682,0.260275742,1.580313501,2.186209749,1.151446358,0.819177352,0.000659125,0.013971863,0.805539629,0.000257572,0.102791776,1.00045931
15,7054fb53f55f530f5d627e63a8bff611,0.151018062,0.612681281,0.450732676,0.142146295,0.623021481,0.389231465,0.078513836,0.160220886,0.007620705,0.622935346,0.041436706,0.513463382,2.205268509,0.908664085,1.34214168,1.860922657,0.256799879,1.392139164,2.258927377,1.354030944,0.829670408,0.000650077,0.018680459,0.779886492,0.000255256,0.100539703,1.041387937
15,2b413e85a6d8a7a0611f427feb3a34b4,0.142609501,0.667525097,0.391458355,0.191037258,0.597999815,0.383117481,0.069622954,0.162989609,0.007229177,0.6324848,0.041271892,0.446227986,2.370853867,0.598452143,1.355523953,1.859528139,0.24541075,1.436756848,2.25543238,1.45809457,0.827796535,0.000687564,0.016510749,0.862974669,0.000317445,0.099732109,0.909922958
15,f89f2b31a306b97184aadb1bceaeb59b,0.137649848,0.616994831,0.718845909,0.392877811,0.373810622,0.822766962,0.127443111,0.157464501,0.007682767,1.515087391,0.045314918,1.001520468,2.080730493,0.543012282,1.520243377,1.616239741,0.273442387,1.568091637,1.464298494,1.078121503,0.65140232,0.000454672,0.045429833,0.693227452,0.000608835,0.080403929,0.943099739
15,612a59415ab8d40862328e18301905a5,0.148070139,0.652533821,0.432224296,0.244363328,0.730779477,0.398935656,0.059726599,0.162272105,0.008958652,0.700323556,0.040363696,0.721171641,2.111231293,0.556280789,1.348616011,1.869636451,0.257380176,1.338589175,2.146835382,1.486658219,0.824437588,0.000633517,0.020249387,0.93800327,0.000202515,0.10423024,0.992137144
15,6b247777da6d0ca739df0a18dea6fd45,0.152524885,0.654710469,0.5477714,0.203194212,0.668367972,0.3352558,0.077934083,0.165684456,0.007396561,0.453259984,0.043698789,0.560502095,2.041422813,0.658307072,1.329889878,1.877117517,0.271219798,1.558978116,2.190257246,1.023622877,0.82095627,0.000643879,0.017258589,0.720399283,0.000342632,0.105008711,0.97175519
15,34dc9cf6f4743f2657277ec1a9a8c8b0,0.147874735,0.586766445,0.463834181,0.182120173,0.611709768,0.394270549,0.079288041,0.154569089,0.007870703,0.609344718,0.042837969,0.444788319,2.255484067,0.787219561,1.338380113,1.857891944,0.256736408,1.425994637,2.265093471,1.262414377,0.830453853,0.000647024,0.016507262,0.783996979,0.000301423,0.100763323,1.07891752
15,934a41950040f02f6aa96b0e5df0d4c3,0.123404811,0.674265766,0.4333182,0.210395395,0.505245792,0.465435388,0.060053835,0.163495244,0.007625145,0.742895739,0.041324173,0.332422588,2.566111738,0.447757618,1.378037961,1.863330562,0.246536177,1.492072193,2.279514104,1.31074711,0.849874318,0.000583608,0.022933889,0.910770808,0.000357742,0.101389726,0.906993338
15,9614663ce4d04fdd9478f162aab1279f,0.141111509,0.738082967,0.456549268,0.177066983,0.619070724,0.303299888,0.065442547,0.175198468,0.006577459,0.548163021,0.041605571,0.48495813,2.358195444,0.450369251,1.359027885,1.865259647,0.253608034,1.552540495,2.1363674,1.164754748,0.816203726,0.000672784,0.01663526,0.87824631,0.00037057,0.102515547,0.93473951
15,0ae48400d7f2107c59ff6aced08c934a,0.150150757,0.694574872,0.43172983,0.158028283,0.653828149,0.376311562,0.074200046,0.153082297,0.007393439,0.71664195,0.041579054,0.584520076,2.49100309,0.490250061,1.349927366,1.885490276,0.26058015,1.558274992,2.219979678,1.120896036,0.838286453,0.000666613,0.01441507,0.813640387,0.000401046,0.107133436,0.825191117
15,1b67df03f16c61b1f80b0d6d8f696d22,0.146145798,0.694526199,0.408576438,0.195834833,0.629210458,0.374996047,0.066718901,0.164778885,0.007464401,0.595260091,0.041029831,0.49124865,2.353328765,0.550419082,1.354911291,1.868465484,0.24774594,1.469537696,2.251463329,1.434595891,0.82513693,0.000666969,0.015785585,0.848540868,0.000311086,0.100495606,0.798140298
15,a330d4beb8e55e91687ef119a87ff462,0.141312694,0.692158123,0.369922527,0.218867836,0.553182349,0.359107463,0.065293736,0.167056431,0.006523672,0.735402119,0.041038626,0.551383775,2.479382805,0.467419328,1.350432397,1.887927876,0.254453239,1.457783637,2.234973124,1.252283713,0.842217858,0.000635561,0.018930575,0.827385268,0.000361636,0.103060851,0.849031726
15,431c8ed5b2901fc94907fec4d7d736eb,0.140820568,0.772816275,0.453251611,0.165498959,0.652873542,0.274377762,0.062522772,0.176064439,0.006279287,0.459861372,0.041763612,0.475572264,2.278790228,0.476196718,1.358121516,1.855201392,0.24925518,1.597653934,2.12018182,1.226863977,0.80445315,0.000711987,0.015305549,0.879325194,0.000354597,0.101805247,1.119915216
15,6b4deff7e0fc975794f71195dd01a497,0.14325226,0.772065326,0.382502459,0.134780739,0.612703942,0.248199995,0.059156813,0.163681287,0.007116431,0.360294384,0.041790005,0.311247848,2.262229831,0.468319155,1.361779558,1.851970573,0.250628118,1.584556197,2.12157457,1.112859711,0.797499741,0.000650576,0.019594167,0.959092227,0.000390038,0.099187255,0.963171754
15,f1385c48e7e4c94dbeec166ae9d34038,0.147768892,0.733344903,0.422492316,0.160080924,0.649239947,0.323409496,0.065788714,0.170001945,0.007015583,0.533397873,0.040246012,0.557366492,2.275412904,0.69180141,1.357285027,1.866237936,0.251885624,1.494506935,2.207792528,1.38905915,0.819756286,0.000666441,0.018613775,0.837828143,0.000284826,0.101785737,0.920514393
15,bf3b970c0622b7a6ec41bf0314b9d4ac,0.150248587,0.812245387,0.374850879,0.166569225,0.653534839,0.281703638,0.051579572,0.177505206,0.00796585,0.403488879,0.037882311,0.462918465,2.034314226,0.639122488,1.376796254,1.863440422,0.247510498,1.428934157,2.151105639,1.531036496,0.801051857,0.000624894,0.024378961,0.969253594,0.000228974,0.097229661,0.845722275
15,88fdb407e79232d2c44860d0fe6a3c9a,0.156341594,0.843480067,0.324362691,0.044050027,0.644140269,0.278294585,0.057186728,0.16910063,0.00644504,0.777677452,0.035545359,0.710590214,2.708257024,0.788224558,1.375465245,1.87779193,0.248002882,1.464699225,2.141075985,1.436524884,0.825833086,0.000715888,0.016306348,0.951311516,0.000243734,0.103627812,0.914568416
15,b63e18fbabe6b28cf92aedd4a6e2d50d,0.144654148,0.647009108,0.41078075,0.192674867,0.605286843,0.398651431,0.070948665,0.159560734,0.007720752,0.65555749,0.04139925,0.42184652,2.323215981,0.602927429,1.353748493,1.861924047,0.245732539,1.430385221,2.27165257,1.445976737,0.829208084,0.000670049,0.01541043,0.850585793,0.00030685,0.099562325,0.926382959
15,b452d7842fcaa6203c832338fa4832d2,0.148663864,0.542685878,0.415862199,0.160854277,0.582306828,0.431913069,0.083914755,0.149699119,0.008077403,0.688950664,0.042572027,0.355953759,2.252498442,0.777855828,1.338317978,1.850891277,0.248585487,1.338325628,2.292001201,1.394972012,0.833908187,0.000683828,0.015533478,0.822146744,0.000288569,0.098321242,1.092343951
15,7dae640356cce35a2689cae731d6e263,0.13960605,0.612153682,0.496218247,0.202949553,0.597045948,0.391738711,0.074891989,0.168741298,0.008152391,0.509541826,0.043542842,0.399508342,2.031189107,0.567218046,1.347108572,1.871438041,0.263843427,1.457702033,2.237469637,1.111680589,0.827721102,0.000573657,0.023292902,0.803487534,0.000352143,0.10119666,0.918589165
15,e7e320e076b35e3b4f06c92dfd621c94,0.147826537,0.680523473,0.399930904,0.187915046,0.622997171,0.37468044,0.068430627,0.16372,0.007567383,0.633314109,0.040755222,0.485692382,2.301844691,0.57308649,1.356531965,1.868264366,0.247318242,1.440405455,2.252751981,1.461035918,0.82770702,0.000634646,0.016675769,0.86124295,0.000300348,0.100193409,0.725989351
15,f41c2f19a88e08a16e328ad2971eccda,0.159089327,0.736996867,0.280228046,0.02205829,0.71906547,0.355887571,0.068663043,0.158659632,0.008034077,1.020286002,0.034036877,0.951631579,2.700633767,1.275233852,1.362855145,1.87493269,0.249434913,1.255717751,2.250366226,1.659489426,0.84031413,0.000688042,0.019913293,0.917244323,0.00014971,0.105483373,1.173877722
15,b7454b848a15bf2988b95ed76247d12b,0.135619878,0.588418538,0.627184262,0.490079162,0.803153928,0.363654516,0.06245728,0.149454464,0.010532835,0.479733066,0.045289204,0.862788352,2.006526457,0.850880969,1.321333065,1.870983464,0.269857149,1.558365508,2.212065538,1.21015848,0.817769391,0.00060001,0.016695008,0.798235785,0.000195952,0.109310096,1.157691641
15,8c08f529acb65041e82793a754e5a12b,0.145122491,0.647514851,0.412635703,0.187043965,0.611376629,0.39795221,0.071626568,0.159016198,0.007704204,0.643814467,0.041403069,0.422971631,2.315358417,0.61373943,1.354613306,1.86153934,0.24627542,1.43162327,2.275228719,1.435531633,0.828419702,0.000688622,0.015803149,0.853102459,0.00030511,0.099594393,0.858970201
15,80c383372d9977b188a393f3d3c7984e,0.154725297,0.667056969,0.463710056,0.093763896,0.704089866,0.278252915,0.077608748,0.155324202,0.007175164,0.492304487,0.042383471,0.706242744,2.277081706,0.865412978,1.327908675,1.869883984,0.267723998,1.542828192,2.15686662,1.057066043,0.813466347,0.000639726,0.015173011,0.796932683,0.000293568,0.106579673,0.881935834
15,700e7902866a45ac2548eefc9de3babd,0.160008978,0.554866509,0.461808278,0.060415803,0.643983911,0.379452163,0.086482775,0.159485382,0.008101606,0.557796166,0.041664931,0.536795352,1.970966325,0.929195116,1.330605143,1.860282553,0.265114525,1.303152215,2.200538211,1.270951091,0.821204975,0.000620142,0.019723143,0.807155492,0.000202434,0.100270635,0.87322155
15,fe564ef1e5852d55682221ac3f08c7e2,0.145323672,0.684444634,0.396807321,0.19595937,0.607087155,0.38414789,0.069498085,0.164349367,0.00732148,0.646519992,0.040864572,0.475233665,2.333023024,0.640406244,1.35519549,1.865724026,0.246599107,1.431347253,2.265644604,1.468653393,0.828736673,0.000686238,0.016638982,0.856201702,0.000303423,0.099792959,0.864037802
15,4f01ec565f3356457244a63a63205ea9,0.143367014,0.666626985,0.399201572,0.189244573,0.606716739,0.386121064,0.070107491,0.161533794,0.007329337,0.638441858,0.041331879,0.445127262,2.37249471,0.643422467,1.356132895,1.855360112,0.245657966,1.437121686,2.265562479,1.44451735,0.828919949,0.000675259,0.016650776,0.864095624,0.000307964,0.099695575,0.932798931
15,3460aca9ef448bed01649075d968aab8,0.146231903,0.681051881,0.394796265,0.188229249,0.62276061,0.383140239,0.068487968,0.164480527,0.007512278,0.639879905,0.040832183,0.495673642,2.29789088,0.576980685,1.355291264,1.865486532,0.2472092,1.431635296,2.256994329,1.459537917,0.828195624,0.000635254,0.016565509,0.863369415,0.000298842,0.100080583,0.700415278
15,abcf6d21a8d2cf47dbe548461bf8f016,0.129725995,0.683527732,0.505827481,0.206760055,0.536006516,0.407126041,0.063699158,0.173341571,0.007344536,0.563889121,0.042138889,0.384863268,2.311762608,0.537006486,1.3668602,1.86916544,0.257610588,1.542585643,2.242055624,1.171721962,0.837620184,0.000555759,0.023732991,0.838293867,0.000344897,0.101908339,0.816000964
15,c554f15e5b1a77b08b2d46b47a5ecff9,0.148660564,0.728698448,0.426603106,0.219574266,0.59668145,0.289984832,0.060251061,0.152261696,0.007304996,0.497396174,0.041678421,0.448302508,2.537462681,0.561157795,1.347190973,1.86815865,0.252403826,1.568337002,2.178664691,1.179880541,0.822580819,0.00070087,0.013955776,0.852874075,0.00033075,0.102199065,0.939361404
15,b4231d2bbaaec46fd3bb4c25e9a0d43b,0.147856482,0.685219114,0.421234344,0.199850116,0.634758667,0.361405331,0.06717022,0.162647192,0.007661706,0.576805557,0.041249448,0.48836977,2.314669342,0.58746656,1.351950365,1.86322485,0.24919309,1.478166937,2.260435438,1.411428791,0.823558668,0.00067934,0.016077344,0.833810259,0.000310837,0.100891258,0.961469546
15,7c79184635a3e404e4e226441f1c34dc,0.150451631,0.720030751,0.446190656,0.270139517,0.629749419,0.323620165,0.05606141,0.164367343,0.009030803,0.503790695,0.039852069,0.516526778,2.232554057,0.64037867,1.359302624,1.875069858,0.254939824,1.430049285,2.178489828,1.349421395,0.819934704,0.000640951,0.020441665,0.912729033,0.000237714,0.100301369,0.830496045
